system:index,SOS,year,.geo
"0_29004,11606_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11606_0",100.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11606_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11606_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11606_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11606_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11606_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11606_0",113.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29012,11606_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29013,11606_0",114.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29014,11606_0",113.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28999,11607_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11607_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11607_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11607_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11607_0",102.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11607_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11607_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11607_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11607_0",115.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11607_0",116.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11607_0",117.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11607_0",122.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11607_0",97.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29012,11607_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29013,11607_0",119.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28998,11608_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28999,11608_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11608_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11608_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11608_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11608_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11608_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11608_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11608_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11608_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11608_0",117.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11608_0",95.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11608_0",114.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11608_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29012,11608_0",115.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29013,11608_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28997,11609_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28998,11609_0",102.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28999,11609_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11609_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11609_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11609_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11609_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11609_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11609_0",102.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11609_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11609_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11609_0",99.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11609_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11609_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11609_0",115.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29013,11609_0",121.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28996,11610_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28997,11610_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28998,11610_0",97.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28999,11610_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11610_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11610_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11610_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11610_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11610_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11610_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11610_0",117.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11610_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11610_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11610_0",99.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11610_0",123.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11610_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29012,11610_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28995,11611_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28996,11611_0",84.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28997,11611_0",92.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28998,11611_0",95.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28999,11611_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11611_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11611_0",99.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11611_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11611_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11611_0",100.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11611_0",101.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11611_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11611_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11611_0",93.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11611_0",84.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11611_0",86.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11611_0",88.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28994,11612_0",95.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28995,11612_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28996,11612_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28997,11612_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28998,11612_0",101.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28999,11612_0",101.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11612_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11612_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11612_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11612_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11612_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11612_0",101.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11612_0",116.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11612_0",98.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11612_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11612_0",113.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11612_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28993,11613_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28994,11613_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28995,11613_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28996,11613_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28997,11613_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28998,11613_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28999,11613_0",88.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11613_0",97.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11613_0",101.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11613_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11613_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11613_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11613_0",101.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11613_0",102.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11613_0",99.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11613_0",98.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11613_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28992,11614_0",105.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28993,11614_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28994,11614_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28995,11614_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28996,11614_0",100.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28997,11614_0",98.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28998,11614_0",86.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_28999,11614_0",88.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29000,11614_0",95.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11614_0",114.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11614_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11614_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11614_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11614_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11614_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11614_0",101.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11614_0",97.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29004,11601_0",113.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29005,11601_0",121.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29006,11601_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29007,11601_0",113.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29008,11601_0",84.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29009,11601_0",108.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29010,11601_0",108.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29011,11601_0",105.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29012,11601_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29013,11601_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29014,11601_0",112.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29015,11601_0",113.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29016,11601_0",112.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29017,11601_0",113.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29018,11601_0",111.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29019,11601_0",108.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29003,11602_0",117.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29004,11602_0",117.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29005,11602_0",112.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29006,11602_0",112.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29007,11602_0",98.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29008,11602_0",104.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29009,11602_0",110.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29010,11602_0",116.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29011,11602_0",117.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29012,11602_0",113.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29013,11602_0",112.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29014,11602_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29015,11602_0",116.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29016,11602_0",115.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29017,11602_0",113.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29018,11602_0",115.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29019,11602_0",114.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29002,11603_0",118.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
"1_29003,11603_0",117.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
